小区,价格（平方/元）
万科MIXTOWN,17817.00
绿地21新城,14075.00
金塘园,17108.00
颐景园,17260.00
可逸兰亭,15856.00
中航九方城,18937.00
花桥裕花园,16295.00
常发豪郡,11893.00
云山诗意,18115.00
鑫苑国际城市花园,15998.00
新城域花园,12645.00
首创悦都,13293.00
宇业•天逸华庭,11315.00
世茂东壹号（住宅）,15891.00
余向小区,5891.00
中南世纪城（玉山）,14245.00
罗马假日,15192.00
新华舍,16352.00
衡山城国际花园,15990.00
华润国际社区,21895.00
观湖壹号,23282.00
枫景苑(A至C区),11562.00
时代文化家园,21638.00
千灯裕花园,10919.00
印象欧洲,13506.00
张浦裕花园,11853.00
合生国际花园,11754.00
世茂东外滩,14817.00
上海裕花园,19605.00
江南理想,24508.00
农房英伦尊邸,11606.00
绿地21城·蓝湾,7692.00
中航城,16442.00
嘉业阳光水世界,18038.00
象屿珑庭,18864.00
棕榈湾,16780.00
凯德·都会新峰,25420.00
江南明珠苑,17345.00
昆城景苑,18507.00
香溢紫郡,13853.00
金湖银滩,11826.00
森林半岛,22634.00
新城柏丽湾,14277.00
嘉宝梦之城,17213.00
蚬江花园,7843.00
光大花园,15778.00
国润溪香米兰,13964.00
苏尚家园,13285.00
博威黄金海岸,20753.00
左岸尚海湾,15258.00
红杨花园,10431.00
云谷周庄,10597.00
建滔裕景园,13478.00
博奥苑,17552.00
风景英伦,20335.00
绿地21城滨江汇,16914.00
晨曦(南北)园,11820.00
绿中海,18755.00
白鹭湾,17441.00
黄浦君庭,11792.00
永丰大厦,10646.00
花苑新村,14356.00
上郡,8489.00
东城蓝郡,13132.00
樾城花园,12898.00
御翠湾,10129.00
萧林别墅,7250.00
金鹰天地,23277.00
巴比伦广场,17110.00
第一上海·菁英汇,12566.00
江南春堤玫瑰苑,10106.00
香榭水岸,21325.00
跃进新村,19663.00
泊仕楼,11337.00
吉田国际广场（住宅）,17597.00
同城光明捷座,19953.00
善景园,10473.00
三水萧林（住宅）,17376.00
碧悦湾,10567.00
同进君望,25155.00
香榭丽大道818号,10080.00
华润置地·昆玉九里,26405.00
晶蓝上城花园,11476.00
天成佳园（住宅）,19219.00
常发香城名园,15595.00
希望之城,14032.00
巴比伦花园,18178.00
新城花园,12626.00
韵湖国际,15992.00
苏豪国际广场,8888.00
秋泉小区,8108.00
淀山湖花园,14946.00
中星城际广场,18417.00
奥园印象高迪,11215.00
龙隐水庄,10497.00
浦园,9778.00
新城翡翠湾,15290.00
清风华院,24421.00
日月星城,11842.00
观林一品,23891.00
水秀江南,17436.00
澞和苑,21251.00
九扬香郡,23288.00
壹克拉,12438.00
换新小区,9267.00
外滩印象花园,15836.00
红峰新村,27218.00
金色森林,23767.00
国际艺术村,22756.00
花望新村,15121.00
启航社U时代,18576.00
心泊家园,10201.00
嘉馨花园,10998.00
大德世家,15814.00
茗景苑,9969.00
东方华庭,15429.00
东方丽池,12987.00
青江秀韵,17059.00
北大资源理城,13047.00
森隆·珑庭,12777.00
华敏世家花园,19428.00
象屿珑公馆,18000.00
财富湾,6943.00
中环时代,11565.00
世茂新界,8341.00
上海捷座,12093.00
徐公桥小区(一至二期),14675.00
怡馨苑,38888.00
森林别墅,46228.00
青城之恋,15072.00
琨城帝景园,14345.00
希悦庭公馆,14365.00
中大未来城,22397.00
东晶国际花园,17549.00
逸景湾,14303.00
花都艺墅,21798.00
隆祺丽景国际公寓,7146.00
东景苑,12988.00
翡翠名都,14231.00
新公馆花园,19731.00
杉欣花园,14117.00
品院公寓,13968.00
万丰苑,12969.00
游方弄小区,21698.00
同城·虹桥公馆,20175.00
中科苑,15504.00
佑林·泰极,10672.00
和风雅颂,22220.00
鸡鸣塘小区,10000.00
绅园别墅,15855.00
萧林公馆,9641.00
港龙财智国际,10201.00
城际雅苑,12945.00
锦景园,9897.00
四季阳光,10726.00
赵厍花园,15777.00
锦绣豪门,13851.00
沪士小区,10450.00
璞俪公馆,10144.00
宝城名邸,12380.00
富康花园,13629.00
阳澄春晓苑,12134.00
竹园四季花城,17478.00
夏桥家园,10728.00
两岸新天地,11398.00
水月周庄,17449.00
陈巷小区,12379.00
长顺滨江皇冠,18940.00
花园路770弄,12323.00
梅浦新村,13507.00
余项园,5606.00
云立方花园,14801.00
绿地世纪家园,14096.00
香馨花园,12843.00
招商新村,16512.00
金茂云庭（云公馆）,14258.00
摩卡小镇,13622.00
恒海国际高尔夫别墅,20079.00
君临天下,15476.00
和兴东城,15332.00
通澄花园（一至四期）,12831.00
凤凰城,13858.00
阳光世纪花园,14683.00
康城花园,16845.00
雍景湾西苑,19220.00
郁金香花园（别墅）,36313.00
鑫河湾,11019.00
黄浦家园,13779.00
神州通城西印象,12399.00
绿地21城滨江汇繁华里,16805.00
鑫苑世家,17279.00
GOHO悦城,12000.00
佳茂缘商务广场,9490.00
天福苑,13665.00
巴比伦国际广场,16522.00
中冶昆庭,10297.00
中宇花苑,17405.00
金城花园,13825.00
珠江新村,21917.00
大唐五星公寓,9746.00
淀辉锦园,12543.00
中寰广场,13298.00
夏驾园,11494.00
铭家•山水江南,14955.00
海上印象,11238.00
年丰花园,9864.00
水岸花园,13725.00
新城天地,18845.00
玖珑湾,21579.00
弘辉首玺,21118.00
秀峰新村,25000.00
锦隆佳园,12049.00
金水楼台,11143.00
青阳嘉苑,12097.00
祥和花园,16030.00
西桥新村,19003.00
杏园小区,21875.00
保昆公寓,13958.00
景江花园,14430.00
菊园（一至三村）,12211.00
绣衣东村,13724.00
金色港湾（住宅）,16495.00
三水萧林（别墅）,22394.00
阿里巴巴电子商务大厦,8983.00
栈泾梅苑,11170.00
光华糖果公元,11584.00
新城家园(城南),13416.00
湖畔林语,10409.00
昆城博奥苑,17516.00
金瑞家园,18426.00
摩玛自由城,7635.00
夏驾园华苑,11433.00
永共新村,11404.00
翡翠公馆,8108.00
卫丰小区,8675.00
碧水佳园,11160.00
光华时代,7838.00
舜江首府,10379.00
游站,12173.00
华强阳光新城,11051.00
萧林大厦,10442.00
马景园,9690.00
通达广场,12993.00
启发广场,15329.00
百灵佳苑,12093.00
东方国际广场,16452.00
仁宝新天地,14127.00
江南新村,22705.00
里厍新村（一至二村）,34100.00
富贵花园,14492.00
美华（一至三期）,12343.00
月盛花园,14554.00
朗晴园,14947.00
白杨湾国际公馆,8967.00
兆丰99•阳光新生活广场,14611.00
虹桥公寓,17238.00
玫瑰湾　,15089.00
叶泾小区,6451.00
万家汇,9809.00
大城小室,12727.00
南苑小区,9935.00
姜夏新村,10654.00
长江一品,6926.00
双湖湾别墅,24919.00
一泓蓝溪,16530.00
财富湾二期,6216.00
天润尚院,14921.00
城际风尚,12414.00
市北花园,9403.00
绿地21城樨桂园,19386.00
忆江南,13703.00
杨林小区,8867.00
现代广场,8147.00
优秀酒店公寓,9543.00
玉龙东村,13930.00
新兰园,13567.00
金山大厦,15100.00
许文塘,28985.00
天地华城,21847.00
金瑭珑沐湾（住宅）,13750.00
鑫茂东苑,10899.00
绿地孝贤坊,20326.00
萧景园,10165.00
江南春堤牡丹苑,9855.00
中城国际城市花园,16844.00
御澜湾,22335.00
杏花南苑,16990.00
秦峰广场,5128.00
绿地卡米小城,16561.00
绿地新瑅香公馆,24266.00
阳澄溢景苑,19211.00
新安花园,15873.00
建涛御花园,12107.00
品院别墅,22595.00
琨公馆,18539.00
黄埔家园,12977.00
卡布奇诺非常主角,13316.00
亿丰机电城,4737.00
建伟国际汽车城,6948.00
格林国际,10822.00
江南春堤二期,9380.00
察院前,26123.00
盛巷小区,10000.00
美吉特灯都,8863.00
中城商务广场,12581.00
珍兴国际大厦,12827.00
凤祥园（周市）,8476.00
虹桥新村,14545.00
红扬花园,10625.00
紫竹品苑,21746.00
东通山弄,31816.00
东苑新村,14026.00
龙泉山庄,17852.00
玉荷春天,21212.00
赛格国际公寓,17514.00
亚太广场,12158.00
育才新村,11934.00
泗泾湾小区,14204.00
美陆佳园,10746.00
箐华时代,12327.00
横泾别墅花园,15833.00
国际上湖花园,6432.00
玉龙西村,13051.00
锦江花园（一至二期）,8906.00
丽华园,13698.00
仓基园,20139.00
银都花园,11586.00
国际公馆,13257.00
滨江丽景,16464.00
梧桐广场,13295.00
新浦花园,12687.00
通澄美墅,18300.00
凯翔花园,14731.00
团结新村,19896.00
亭林新村,30943.00
清水湾住宅,14508.00
山水森林,18066.00
鱼尾狮玉峰山庄,28839.00
培江园,8782.00
水岸香堤,14261.00
嘉裕富士花园,16545.00
方正·名门,15656.00
文峰园,11784.00
百盛广场,11578.00
篷曦园,11617.00
淀山湖绅园,15695.00
凯迪公元,17241.00
梅苑小区,11500.00
南街商住楼,17740.00
风栖园,7765.00
中南山水湾,37684.00
百澜地,13816.00
中大简介,18963.00
依林家园,13815.00
大上海宝岛别墅,25263.00
苏尚帝景,14231.00
秦峰星尚,8861.00
恒海国际高尔夫花园,21381.00
阳光新城,10394.00
石浦南苑,9953.00
远东世纪花园,30833.00
云湖御墅,20885.00
邻里广场,6516.00
濂园新村,10850.00
珠竹花苑,11081.00
太平新村,7950.00
水榭蓝湾,10714.00
大德玲珑湾,14092.00
建伟新世界5.2loft,10248.00
国基城邦（住宅）,16625.00
绿城玫瑰园,32162.00
时代御湖,19395.00
青春岸线,15730.00
康桥小区,4523.00
绿地蓝湾,28301.00
柏庐北路小区,12159.00
采莲新村,27535.00
市民文化广场,22285.00
景锦园,9631.00
西苑新村,14530.00
中乐小区,8396.00
清水·依瓦诺小镇,7000.00
恒升花园,9938.00
美景园,9954.00
中泰大厦,7941.00
白云佳苑,14626.00
花桥新都,13333.00
珠海新村,12229.00
君子亭花园,11064.00
鼎园美墅,24374.00
三星小区,7659.00
景秀丽都广场,15468.00
香堤湾,16995.00
中大.简界,18152.00
留晖山庄,23711.00
天籁花园,14721.00
倚和园,12446.00
红峰一村,29432.00
密友新村,34279.00
中创泰和苑,18617.00
富华园（东西村）,12831.00
鹿城花园,13263.00
金都花园,13403.00
金澄花园,13838.00
宝岛花园别墅,26679.00
